ISO,Top1Cause,Top1Per,Top2Cause,Top2Per,Top3Per,Top3Cause
AFG,Ischemic,0.28637698,Cereb,0.23600593,0.15472268,Accidents
ALB,Ischemic,0.35624766,Cereb,0.33301142,0.10460294,Accidents
DZA,Cereb,0.3000971,Ischemic,0.27674073,0.12637345,Diabetes
AND,Ischemic,0,Cereb,0,0,Accidents
AGO,Accidents,0.137105,Cereb,0.11926692,0.115167096,Resp
ATG,Ischemic,0.30880544,Cereb,0.21530049,0.21222351,Diabetes
ARG,Ischemic,0.28695172,Accidents,0.16750327,0.16477914,Cereb
ARM,Ischemic,0.4655029,Cereb,0.18979385,0.10425605,Accidents
AUS,Ischemic,0.36176017,Accidents,0.15171647,0.14888726,Cereb
AUT,Ischemic,0.38856453,Accidents,0.15632133,0.14743195,Cereb
AZE,Ischemic,0.5161891,Cereb,0.2248702,0.0699487,Accidents
BHS,AIDS,0.29583487,Ischemic,0.1909699,0.18837784,Accidents
BHR,Ischemic,0.25848085,Diabetes,0.24122505,0.14189708,Accidents
BGD,COPD,0.17034572,Accidents,0.16491294,0.15108833,Resp
BRB,Ischemic,0.23810852,Diabetes,0.20439583,0.20138346,Cereb
BLR,Ischemic,0.5325418,Cereb,0.18034992,0.16139452,Accidents
BEL,Ischemic,0.29257756,Accidents,0.18386891,0.14601997,Cereb
BLZ,Ischemic,0.2344741,Accidents,0.16293319,0.14038838,Diabetes
BEN,Malaria,0.22967818,Resp,0.18393295,0.13359319,Cereb
BTN,Accidents,0.26139867,Ischemic,0.16466781,0.16276547,COPD
BOL,Ischemic,0.19837631,Resp,0.17767337,0.15872665,Cereb
BIH,Ischemic,0.34648082,Cereb,0.3304703,0.088164754,Accidents
BWA,AIDS,0.40220964,Accidents,0.13055114,0.11504634,Cereb
BRA,Ischemic,0.23678526,Cereb,0.20454863,0.20086882,Accidents
BRN,Ischemic,0.26626128,Cereb,0.1857558,0.16080737,Diabetes
BGR,Ischemic,0.39993516,Cereb,0.32454762,0.07993595,Accidents
BFA,Malaria,0.24530642,Resp,0.20461874,0.10860765,Cereb
BDI,Malaria,0.14787532,Tuber,0.12865804,0.12847884,Cereb
KHM,Ischemic,0.25457212,Cereb,0.2252725,0.13300566,Resp
CMR,AIDS,0.18874691,Resp,0.1653911,0.14606254,Malaria
CAN,Ischemic,0.35070056,Trachea,0.14797464,0.14606695,Accidents
CPV,Cereb,0.27804404,Accidents,0.16077709,0.14611533,Ischemic
CAF,AIDS,0.17794351,Diarrea,0.14052887,0.11587718,Resp
TCD,Resp,0.21844141,Diarrea,0.16266201,0.10373283,Malaria
CHL,Ischemic,0.22636132,Accidents,0.21281885,0.1874722,Cereb
CHN,Cereb,0.31825924,COPD,0.17893608,0.17530438,Ischemic
COL,Ischemic,0.26907393,Accidents,0.23203169,0.1348757,Cereb
COM,Cereb,0.19201018,Resp,0.16033131,0.15625359,Accidents
COG,Cereb,0.13819867,Malaria,0.12360663,0.12348783,Accidents
CRI,Ischemic,0.32920492,Accidents,0.21331672,0.13904868,Cereb
CIV,Malaria,0.17340377,Resp,0.16629887,0.13576221,AIDS
HRV,Ischemic,0.3889836,Cereb,0.25765783,0.120233044,Accidents
CUB,Ischemic,0.36107904,Cereb,0.187441,0.14077182,Accidents
CYP,Ischemic,0.38093016,Cereb,0.172296,0.13012181,Accidents
CZE,Ischemic,0.41532946,Cereb,0.2371802,0.12218763,Accidents
PRK,Cereb,0.27089036,COPD,0.18037705,0.1586616,Ischemic
COD,Malaria,0.14323618,Diarrea,0.1212688,0.118036166,Cereb
DNK,Ischemic,0.32079756,Cereb,0.16911061,0.13831885,Trachea
DJI,Accidents,0.1625966,AIDS,0.16244534,0.14683881,Cereb
DMA,Ischemic,0.22344851,Cereb,0.21100903,0.18370038,Diabetes
DOM,Ischemic,0.35328734,Cereb,0.21646146,0.15077329,Accidents
ECU,Accidents,0.24645378,Ischemic,0.18999588,0.14062215,Cereb
EGY,Ischemic,0.43499038,Cereb,0.2819059,0.07741587,Accidents
SLV,Accidents,0.33476564,Ischemic,0.24614029,0.10506016,Resp
GNQ,AIDS,0.18584959,Accidents,0.16566278,0.15076274,Malaria
ERI,Resp,0.1572773,Cereb,0.14797972,0.13132955,Accidents
EST,Ischemic,0.46826118,Cereb,0.19010802,0.1357106,Accidents
ETH,Resp,0.26417467,Accidents,0.13955835,0.107650936,Cereb
FJI,Ischemic,0.3361865,Diabetes,0.24914442,0.16999617,Cereb
FIN,Ischemic,0.41520542,Accidents,0.1878859,0.15355644,Cereb
FRA,Ischemic,0.25455552,Accidents,0.23954146,0.15066658,Trachea
GAB,Accidents,0.17073052,AIDS,0.15607746,0.12857465,Malaria
GMB,Resp,0.1899298,Malaria,0.17527965,0.14094007,Cereb
GEO,Ischemic,0.478263,Cereb,0.2919878,0.080074295,Accidents
DEU,Ischemic,0.40380743,Cereb,0.14457965,0.12632544,Accidents
GHA,Cereb,0.17713703,Malaria,0.16216698,0.15788768,Resp
GRC,Ischemic,0.349008,Cereb,0.2702433,0.11578099,Trachea
GRD,Ischemic,0.27236772,Cereb,0.2328996,0.17937754,Diabetes
GTM,Accidents,0.24122688,Resp,0.20631002,0.15634514,Ischemic
GIN,Resp,0.21264818,Malaria,0.19658054,0.12873456,Cereb
GNB,Malaria,0.2132674,Resp,0.18089579,0.12213538,Cereb
GUY,Ischemic,0.26276216,Cereb,0.23124056,0.13839848,Diabetes
HTI,Accidents,0.76249003,Cereb,0.08082159,0.039921336,Ischemic
HND,Ischemic,0.2910367,Accidents,0.19471952,0.17089729,Cereb
HUN,Ischemic,0.4270898,Cereb,0.20828535,0.12602425,Accidents
ISL,Ischemic,0.39001745,Cereb,0.1432448,0.13193333,Trachea
IND,Ischemic,0.19818418,COPD,0.16839164,0.14332658,Accidents
