Mfr Name,Division,Carline,Average City CO2,Average City Fuel Efficiency
aston martin,Aston Martin Lagonda Ltd,Rapide S,631,14
aston martin,Aston Martin Lagonda Ltd,V12 Vantage S,805,11
aston martin,Aston Martin Lagonda Ltd,"Vanquish, S and Zagato",659,13
BMW,BMW,230i Convertible,378,23
BMW,BMW,230i Coupe,397,23
BMW,BMW,230i xDrive Convertible,387,23
BMW,BMW,230i xDrive Coupe,372,24
BMW,BMW,320i,382,23
BMW,BMW,320i xDrive,390,23
BMW,BMW,328d,326,31
BMW,BMW,328d xDrive,343,30
BMW,BMW,328d xDrive Sports Wagon,343,30
BMW,BMW,330i,402,22
BMW,BMW,330i xDrive,387,23
BMW,BMW,330i xDrive Gran Turismo,387,23
BMW,BMW,330i xDrive Sports Wagon,387,23
BMW,BMW,340i,442,20
BMW,BMW,340i xDrive,437,20
BMW,BMW,340i xDrive Gran Turismo,438,20
BMW,BMW,430i Convertible,378,23
BMW,BMW,430i Coupe,398,22
BMW,BMW,430i Gran Coupe,378,23
BMW,BMW,430i xDrive Convertible,400,22
BMW,BMW,430i xDrive Coupe,387,23
BMW,BMW,430i xDrive Gran Coupe,387,23
BMW,BMW,440i Convertible,426,21
BMW,BMW,440i Coupe,442,20
BMW,BMW,440i Gran Coupe,419,21
BMW,BMW,440i xDrive Convertible,438,20
BMW,BMW,440i xDrive Coupe,437,20
BMW,BMW,440i xDrive Gran Coupe,418,21
BMW,BMW,530i,374,24
BMW,BMW,530i xDrive,387,23
BMW,BMW,535i Gran Turismo,469,19
BMW,BMW,535i xDrive Gran Turismo,483,18
BMW,BMW,540i,441,20
BMW,BMW,540i xDrive,441,20
BMW,BMW,550i xDrive Gran Turismo,579,15
BMW,BMW,640i Convertible,439,20
BMW,BMW,640i Coupe,429,21
BMW,BMW,640i Gran Coupe,439,20
BMW,BMW,640i xDrive Convertible,466,19
BMW,BMW,640i xDrive Coupe,466,19
BMW,BMW,640i xDrive Gran Coupe,466,19
BMW,BMW,650i Convertible,536,17
BMW,BMW,650i Coupe,536,17
BMW,BMW,650i Gran Coupe,536,17
BMW,BMW,650i xDrive Convertible,579,15
BMW,BMW,650i xDrive Coupe,549,16
BMW,BMW,650i xDrive Gran Coupe,579,15
BMW,BMW,740i,426,21
BMW,BMW,740i xDrive,460,19
BMW,BMW,750i,522,17
BMW,BMW,750i xDrive,540,16
BMW,BMW,Alpina B6 xDrive Gran Coupe,579,15
BMW,BMW,Alpina B7 xDrive,571,16
BMW,BMW,M2,470,19
BMW,BMW,M240i Convertible,442,20
