ISO,Deaths
AFG,4.14
ALB,5.74
DZA,1.0550001
AND,3.505
AGO,5.13
ATG,0.92999995
ARG,12.57
ARM,2.045
AUS,6.5750003
AUT,8.475
AZE,2.085
BHS,1.46
BHR,1.655
BGD,5.71
BRB,0.85
BLR,11.845
BEL,6.535
BLZ,6.4500003
BEN,1.995
BTN,5.475
BOL,8.35
BIH,8.605
BWA,3.835
BRA,4.815
BRN,2.43
BGR,4.875
BFA,1.7650001
BDI,9.875
KHM,8.74
CMR,2.85
CAN,9.860001
CPV,3.365
CAF,8.905001
TCD,1.69
CHL,11.865
CHN,4.98
COL,9.0
COM,7.46
COG,5.9
CRI,6.195
CIV,2.8799999
HRV,6.825
CUB,4.535
CYP,1.105
CZE,6.795
PRK,14.995
COD,5.08
DNK,4.0
DJI,6.725
DMA,2.135
DOM,3.31
ECU,12.875
EGY,1.9000001
SLV,13.85
GNQ,5.01
ERI,8.17
EST,9.28
ETH,10.225
FJI,6.7650003
FIN,12.005
FRA,5.7349997
GAB,7.915
GMB,1.9549999
GEO,3.9099998
DEU,4.94
GHA,1.51
GRC,1.275
GRD,2.105
GTM,10.445
GIN,1.74
GNB,1.845
GUY,28.005001
HTI,1.04
HND,4.6000004
HUN,6.42
ISL,4.8500004
IND,29.135
IDN,2.245
IRN,4.8
IRQ,2.58
IRL,11.424999
ISR,4.435
ITA,2.57
JAM,0.765
JPN,6.925
JOR,1.4200001
KAZ,32.095
KEN,6.1850004
KIR,14.860001
KWT,0.78
KGZ,19.16
LAO,8.66
LVA,7.055
LBN,1.28
LSO,10.67
LBR,1.995
LBY,1.8299999
LTU,13.665
LUX,1.6899999
MKD,2.1399999
MDG,5.575
MWI,12.41
MYS,1.53
MDV,2.8400002
MLI,1.8100001
MLT,2.26
MHL,9.105
MRT,1.5699999
MUS,6.535
MEX,5.8
FSM,11.12
MNG,10.585
MNE,5.33
MAR,1.42
MOZ,7.9350004
MMR,9.62
NAM,6.7999997
NPL,14.89
NLD,3.6
NZL,13.16
NIC,10.440001
NER,1.48
NGA,1.72
NOR,7.485
OMN,0.35
PAK,8.690001
PAN,4.47
PNG,5.625
PRY,7.93
PER,3.67
PHL,3.63
POL,8.785
PRT,4.325
QAT,0.445
KOR,7.0299997
MDA,7.42
ROU,6.185
RUS,17.06
RWA,5.7200003
LCA,1.735
VCT,2.745
WSM,3.06
STP,1.4300001
SAU,0.13
SEN,1.945
SRB,6.05
SYC,8.799999
SLE,2.13
SGP,4.16
SVK,4.91
SVN,7.865
SLB,11.655001
SOM,6.58
ZAF,5.285
ESP,2.255
LKA,21.310001
SDN,6.565
SUR,17.63
SWZ,14.495001
SWE,7.275
CHE,7.2799997
SYR,0.38
TJK,6.495
TZA,3.795
THA,11.030001
TLS,6.6899996
TGO,2.1100001
TON,4.895
TTO,9.245
TUN,1.02
TUR,7.2650003
TKM,13.045
UGA,5.365
UKR,9.515
ARE,1.7950001
GBR,3.995
USA,8.205
URY,8.745
UZB,11.32
VUT,11.325001
VEN,9.2699995
VNM,2.33
YEM,1.645
ZMB,8.27
ZWE,29.02
HIA,5.67048
LIA,6.7887154
LMA,7.597065
UMA,6.1766353
HIM,5.23
LIM,5.685
LMM,5.795
UMM,5.13
HWW,7.5828753
LIW,7.04914
LMW,16.61525
UMW,5.6133
WLD,10.485001
EAS,4.8599997
ECS,11.85
LCN,6.82
MEA,2.3049998
SAS,23.545
SSF,5.3199997
# Series: DESH15FE,NaN
"# Name: Deaths per 100,000, Self-harm, ages 15-19, female",NaN
"# Definition: The mean number of deaths per 100,000 attributable to cause of disease or death",NaN
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),NaN
# Data from the No Ceilings project: http://noceilings.org,NaN
"# For more about the data, please visit http://noceilings.org/data",NaN
