ISO,Deaths
AFG,23.69
ALB,29.645
DZA,9.82
AND,19.725
AGO,7.57
ATG,5.86
ARG,23.345001
ARM,34.18
AUS,23.645
AUT,24.6
AZE,13.25
BHS,9.93
BHR,15.05
BGD,14.815001
BRB,5.885
BLR,33.555
BEL,34.275
BLZ,12.62
BEN,4.145
BTN,6.1150002
BOL,9.585
BIH,34.105
BWA,8.005
BRA,14.645
BRN,25.085
BGR,27.99
BFA,3.8700001
BDI,5.375
KHM,16.965
CMR,4.095
CAN,34.905
CPV,6.8650002
CAF,9.32
TCD,3.68
CHL,13.74
CHN,36.41
COL,13.445
COM,4.8500004
COG,8.89
CRI,8.425
CIV,5.035
HRV,35.425
CUB,30.18
CYP,20.195
CZE,33.184998
PRK,44.329998
COD,7.275
DNK,36.835
DJI,4.07
DMA,9.325
DOM,12.96
ECU,6.9049997
EGY,7.29
SLV,6.45
GNQ,6.05
ERI,4.85
EST,30.615002
ETH,3.7150002
FJI,6.71
FIN,20.705
FRA,28.650002
GAB,8.9
GMB,3.915
GEO,17.185
DEU,27.525
GHA,3.58
GRC,33.03
GRD,9.325
GTM,6.6
GIN,3.56
GNB,4.435
GUY,6.315
HTI,7.79
HND,6.37
HUN,47.7
ISL,26.01
IND,9.7699995
IDN,19.33
IRN,9.59
IRQ,10.715
IRL,27.970001
ISR,19.795
ITA,26.59
JAM,12.325001
JPN,22.775
JOR,12.57
KAZ,33.725
KEN,2.565
KIR,14.425
KWT,9.62
KGZ,15.4
LAO,15.73
LVA,30.865
LBN,17.595
LSO,17.35
LBR,3.0700002
LBY,10.53
LTU,29.515
LUX,28.395
MKD,25.509998
MDG,3.2649999
MWI,4.325
MYS,20.74
MDV,2.51
MLI,4.065
MLT,24.14
MHL,11.29
MRT,4.365
MUS,11.960001
MEX,9.45
FSM,9.925
MNG,34.024998
MNE,40.3
MAR,18.545
MOZ,11.9800005
MMR,17.565
NAM,17.39
NPL,6.7
NLD,37.3
NZL,23.515
NIC,7.3199997
NER,3.3600001
NGA,2.835
NOR,24.974998
OMN,5.995
PAK,13.295
PAN,12.820001
PNG,11.924999
PRY,16.035
PER,9.03
PHL,21.98
POL,41.855003
PRT,20.35
QAT,7.565
KOR,29.420002
MDA,21.949999
ROU,29.49
RUS,32.829998
RWA,4.05
LCA,9.335
VCT,6.715
WSM,3.04
STP,5.95
SAU,4.475
SEN,4.995
SRB,31.765
SYC,25.85
SLE,4.335
SGP,25.724998
SVK,31.4
SVN,29.755001
SLB,11.555
SOM,4.32
ZAF,15.39
ESP,25.32
LKA,3.865
SDN,2.575
SUR,9.52
SWZ,18.3
SWE,18.825
CHE,22.705
SYR,2.78
TJK,8.62
TZA,3.17
THA,26.31
TLS,12.245
TGO,3.9650002
TON,6.13
TTO,13.014999
TUN,17.625
TUR,38.98
TKM,12.504999
UGA,3.5349998
UKR,26.615002
ARE,10.51
GBR,31.82
USA,35.059998
URY,31.269999
UZB,10.389999
VUT,10.825
VEN,16.59
VNM,27.055
YEM,10.315
ZMB,4.34
ZWE,11.99
HIA,23.73605
LIA,8.081715
LMA,11.44076
UMA,17.67482
HIM,23.1
LIM,4.91
LMM,8.915
UMM,12.8550005
HWW,29.443401
LIW,9.7528
LMW,11.63261
UMW,28.30515
WLD,24.465
EAS,33.345
ECS,30.24
LCN,14.070001
MEA,10.445
SAS,10.535
SSF,5.35
# Series: DELCFEIN,NaN
"# Name: Deaths per 100,000, Trachea, bronchus, and lung cancer, female",NaN
"# Definition: The mean number of deaths per 100,000 attributable to cause of disease or death",NaN
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),NaN
# Data from the No Ceilings project: http://noceilings.org,NaN
"# For more about the data, please visit http://noceilings.org/data",NaN
