ISO,Top1Cause,Top1Per,Top2Cause,Top2Per,Top3Per,Top3Cause
AFG,Heart Disease,0.28637698,Cerebrovascular,0.23600593,0.15472268,Accidents
ALB,Heart Disease,0.35624766,Cerebrovascular,0.33301142,0.10460294,Accidents
DZA,Cerebrovascular,0.3000971,Heart Disease,0.27674073,0.12637345,Diabetes
AND,Heart Disease,0,Cerebrovascular,0,0,Accidents
AGO,Accidents,0.137105,Cerebrovascular,0.11926692,0.115167096,Respiratory
ATG,Heart Disease,0.30880544,Cerebrovascular,0.21530049,0.21222351,Diabetes
ARG,Heart Disease,0.28695172,Accidents,0.16750327,0.16477914,Cerebrovascular
ARM,Heart Disease,0.4655029,Cerebrovascular,0.18979385,0.10425605,Accidents
AUS,Heart Disease,0.36176017,Accidents,0.15171647,0.14888726,Cerebrovascular
AUT,Heart Disease,0.38856453,Accidents,0.15632133,0.14743195,Cerebrovascular
AZE,Heart Disease,0.5161891,Cerebrovascular,0.2248702,0.0699487,Accidents
BHS,AIDS/HIV,0.29583487,Heart Disease,0.1909699,0.18837784,Accidents
BHR,Heart Disease,0.25848085,Diabetes,0.24122505,0.14189708,Accidents
BGD,COPD,0.17034572,Accidents,0.16491294,0.15108833,Respiratory
BRB,Heart Disease,0.23810852,Diabetes,0.20439583,0.20138346,Cerebrovascular
BLR,Heart Disease,0.5325418,Cerebrovascular,0.18034992,0.16139452,Accidents
BEL,Heart Disease,0.29257756,Accidents,0.18386891,0.14601997,Cerebrovascular
BLZ,Heart Disease,0.2344741,Accidents,0.16293319,0.14038838,Diabetes
BEN,Malaria,0.22967818,Respiratory,0.18393295,0.13359319,Cerebrovascular
BTN,Accidents,0.26139867,Heart Disease,0.16466781,0.16276547,COPD
BOL,Heart Disease,0.19837631,Respiratory,0.17767337,0.15872665,Cerebrovascular
BIH,Heart Disease,0.34648082,Cerebrovascular,0.3304703,0.088164754,Accidents
BWA,AIDS/HIV,0.40220964,Accidents,0.13055114,0.11504634,Cerebrovascular
BRA,Heart Disease,0.23678526,Cerebrovascular,0.20454863,0.20086882,Accidents
BRN,Heart Disease,0.26626128,Cerebrovascular,0.1857558,0.16080737,Diabetes
BGR,Heart Disease,0.39993516,Cerebrovascular,0.32454762,0.07993595,Accidents
BFA,Malaria,0.24530642,Respiratory,0.20461874,0.10860765,Cerebrovascular
BDI,Malaria,0.14787532,Tuberculosis,0.12865804,0.12847884,Cerebrovascular
KHM,Heart Disease,0.25457212,Cerebrovascular,0.2252725,0.13300566,Respiratory
CMR,AIDS/HIV,0.18874691,Respiratory,0.1653911,0.14606254,Malaria
CAN,Heart Disease,0.35070056,Lung Disease,0.14797464,0.14606695,Accidents
CPV,Cerebrovascular,0.27804404,Accidents,0.16077709,0.14611533,Heart Disease
CAF,AIDS/HIV,0.17794351,Diarrheal Diseases,0.14052887,0.11587718,Respiratory
TCD,Respiratory,0.21844141,Diarrheal Diseases,0.16266201,0.10373283,Malaria
CHL,Heart Disease,0.22636132,Accidents,0.21281885,0.1874722,Cerebrovascular
CHN,Cerebrovascular,0.31825924,COPD,0.17893608,0.17530438,Heart Disease
COL,Heart Disease,0.26907393,Accidents,0.23203169,0.1348757,Cerebrovascular
COM,Cerebrovascular,0.19201018,Respiratory,0.16033131,0.15625359,Accidents
COG,Cerebrovascular,0.13819867,Malaria,0.12360663,0.12348783,Accidents
CRI,Heart Disease,0.32920492,Accidents,0.21331672,0.13904868,Cerebrovascular
CIV,Malaria,0.17340377,Respiratory,0.16629887,0.13576221,AIDS/HIV
